Product,Product Type Extension,Vendor,Effective,Remarks
Mayonnaise Hellmann's,Condiments 3 months,Unilever,1/19/06,"Hellmann's only, 3 month"
"",,Bestfoods,,extension - Network
"",,,,"Connection - Volume 2,"
"",,,,Issue 3
Meat (canned),Meats 2-5 years,N/A,12/23/03,
Meats (sandwich & deli,Meats 60 days,Kraft,3/1/03,Kraft products only
"type) Oscar Meyer, Louis",,,,
Rich,,,,
Milk half & half,Dairy 0 days,Land,3/1/03,Land O'Lakes only
"",,O'Lakes,,
"Milk, canned evaporated",Dairy 12 months,N/A,12/23/03,
Minute Rice (Kraft),Sides 60 days,Kraft,3/1/03,Kraft products only
Minute Rice Kraft,Desserts 60 days,Kraft,3/1/03,Kraft products only
Product,Product,Product Type,"Extensionperiod",Vendor,"EffectiveDate",Remarks,
Molasses,Molasse,"BakingIngredients",12 months,N/A,12/23/03,,
"","Mushrooms, drie",,Vegetables,6 months,N/A,12/23/03,
"",Mustard,,Condiments,12 months,N/A,12/23/03,
"","Nuts, jars or can",,snacks,12 months,N/A,12/23/03,
"",Oats Rolle,,Breads & Cereal,12 months,N/A,6/1/97,
Olive Oil Bertelli,Olive Oil Bertell,"BakingIngredients",60 days,"UnileverBestfoods",1/19/06,"Bertelli Olive Oil only, noextention - NetworkConnection - Volume 2,Issue 3",
"","Olives, black & gree",,Condiments,18 months,N/A,12/23/03,
"",Orange Juice (canned,,Beverages,24 months,N/A,6/1/97,
"",Oysters (frozen),,Seafood,6 months,N/A,12/23/03,
"",Pancakes/waffles (frozen),,Entrees,2 months,N/A,12/23/03,
Pasta & Sauce (DiGiorno),Pasta & Sauce (DiGiorno),Entrees,60 days,Kraft,3/1/03,"Kraft must be frozen to apply60 day extension",
"",Pasta (canned),,Vegetables,5 years,N/A,12/23/03,
"",Pasta- dry packaged,,Entrees,2 years,N/A,12/23/03,
"",Pasta Salads  Kraft,,Entrees,60 days,Kraft,3/1/03,Kraft products only
"Pasta Sauce Bertelli &Ragu",Pasta Sauce Bertelli &,Sauces,60 days,"UnileverBestfoods",1/19/06,"Ragu and Bertelli PastaSauces only, extension 60days past the printed useby date - NetworkConnection - Volume 2,Issue 3",
"",Rag,,,,,,
"",Peaches (canned),,Fruit,24 months,N/A,6/1/97,
"",Peanut Butter,,Condiments,18 months,N/A,6/1/97,
"Peanut Butter Skippy, inplastic containers","Peanut Butter Skippy, i",Condiments,18 months,"UnileverBestfoods",1/19/06,"Skippy only, 5 monthextension - NetworkConnection - Volume 2,Issue 3",
"",plastic container,,,,,,
Peanut Butter Stix Skippy,Peanut Butter Stix Skipp,Condiments,18 months,"UnileverBestfoods",1/19/06,"Skippy only, 3 monthextension - NetworkConnection - Volume 2,Issue 3",
"",Peanuts (shelled),,Legumes,24 months,N/A,6/1/97,
"",Pears (canned),,Fruit,18 months,N/A,6/1/97,
Peas (canned),Peas (canned),Legumes,36 months,N/A,6/1/97,,
"",Peas (canned),,Vegetables,5 years,N/A,12/23/03,
"",Peas (frozen),,Legumes,indefinitely,N/A,6/1/97,Until product appears bad
"",Peas-Blackeyed (canned),,Legumes,36 months,N/A,6/1/97,
"",Peas-canned & split dr,,Legumes,12 months,N/A,6/1/97,
"",Phillie snack bar,,Dairy,30 days,Kraft,3/1/03,Kraft products only
Molasses,Molasse
Olive Oil Bertelli,Olive Oil Bertell
Pasta & Sauce (DiGiorno),Pasta & Sauce (DiGiorno)
"Pasta Sauce Bertelli &Ragu",Pasta Sauce Bertelli &
Rag,
"Peanut Butter Skippy, inplastic containers","Peanut Butter Skippy, i"
plastic container,
Peanut Butter Stix Skippy,Peanut Butter Stix Skipp
Peas (canned),Peas (canned)
Product,Product,Product Type,"Extensionperiod",Vendor,"EffectiveDate",Remarks,
"",Pickles (Claussen),,Condiments,30 days,Kraft,3/1/03,Kraft products only
"Pickles, Sauerbraut-canned","Pickles, Sauerbraut-",Condiments,18 months,N/A,12/23/03,,
"",canned,,,,,,
"",Pie Crust Keebler,,Snacks,4 months,Keebler,3/7/03,Keebler only
"Pie crusts & conesKeebler",Pie crusts & cone,Snacks,4 months,Keebler,3/7/03,Keebler only,
"",Keebler,,,,,,
"",Pineapple (canned),,Fruit,24 months,N/A,6/1/97,
"",Pineapple Juice (canned,,Beverages,24 months,N/A,6/1/97,
"Pizza (Tombstone,DiGiorno, Jack's &California Kitchen",Pizza (Tombstone,Pizza,"30 days(labeled 90daysunlabeled)",Kraft,3/1/03,Kraft products only,
"","DiGiorno, Jack's",,,,,,
"",California Kitche,,,,,,
"",Plums (canned),,Fruit,18 months,N/A,6/1/97,
"",Popcorn (dry in jar),,snacks,2 years,N/A,12/23/03,
"",Popcorn (microwave),,snacks,12 months,N/A,12/23/03,
"",Pork  (frozen),,Meats,indefinitely,N/A,12/23/03,Until product appears bad
"",Pork (canned),,Meats,36 months,N/A,6/1/97,
"",Potato chip,,snacks,2 months,N/A,12/23/03,
"",Potatoes (canned),,Vegetables,5 years,N/A,12/23/03,
"",Potatoes (dehydrated,,Vegetables,12 months,N/A,6/1/97,
"",can),,,,,,
"Potatoes (dehydratedpackage)",Potatoes (dehydrated,Vegetables,6 months,N/A,6/1/97,,
"",package),,,,,,
"",Potatoes (frozen),,Vegetables,indefinitely,N/A,6/1/97,Until product appears bad
"","Potatoes, instant",,Vegetables,12 months,N/A,12/23/03,
"",Poultry- cooked (frozen),,Meats,indefinitely,N/A,12/23/03,Until product appears bad
YooHoo drinks,YooHoo drink,Beverages,see comments,,,"Product doesn't come with sell-by date because yoo-hoowebsite states that productdoes not go bad (airtightcontainers).",
"",Prunes (dried),,Fruit,9 months,N/A,6/1/97,
"",Pudding (Kraft),,Desserts,60 days,Kraft,3/1/03,Kraft products only
"",Pudding mixe,,Desserts,12 months,N/A,12/23/03,
"Pudding/Gelatin (HandiSnack Desserts) Kraft",Pudding/Gelatin (Hand,Desserts,60 days,Kraft,3/1/03,Kraft products only,
"",Snack Desserts) Kraft,,,,,,
"",Raisin,,Fruit,9 months,N/A,6/1/97,
"",Refried Beans (Kraft),,Sides,120 days,Kraft,3/1/03,Kraft products only
"Refrigerated Drinks-Assorted  (glass) OceanSpray",Refrigerated Drinks,Beverages,90 days,Ocean Spray,3/1/03,Ocean Spray only,
Assorted  (glass) Ocea,,,,,,,
Spra,,,,,,,
"Pickles, Sauerbraut-canned","Pickles, Sauerbraut-"
canned,
"Pie crusts & conesKeebler",Pie crusts & cone
Keebler,
"Pizza (Tombstone,DiGiorno, Jack's &California Kitchen",Pizza (Tombstone
