,Ingredient,Average retail price,Unit,Refrigerator Storage,Freezer Storage
200,"bell peppers (1 yellow, 1 orange",1.04,per pound,1 week,8-12 months
201,bell peppers orange,1.04,per pound,1 week,8-12 months
202,"mini sweet peppers (1 yellow, 1 orange",1.04,per pound,1 week,8-12 months
203,orange bell peppers,1.04,per pound,1 week,8-12 months
204,"red peppers, drained, cut into thin strips",2.28,per pound,1 week,8-12 months
205,sweet red peppers,2.28,per pound,1 week,8-12 months
206,roasted red peppers,2.28,per pound,1 week,8-12 months
207,red peppers,2.28,per pound,1 week,8-12 months
208,red bell pepper red peppers,2.28,per pound,1 week,8-12 months
209,peppers red peppers peppers,2.28,per pound,1 week,8-12 months
210,"sweet red peppers, such as frying peppers, cubanelles or bell peppers",2.28,per pound,1 week,8-12 months
211,"red peppers, drained, seeded, and coarsely chopped",2.28,per pound,1 week,8-12 months
212,"red peppers, drained, cut into strips",2.28,per pound,1 week,8-12 months
213,green peppers,1.41,per pound,1 week,8-12 months
214,cherrystone clams,3.59.per pound,0.92,"1-2 days (shucked)
2-3 days (live)","3-6 months
2-3 months"
215,muscat grapes grapes,2.09,per pound,1 week,8-12 months
216,green grapes,2.09,per pound,1 week,8-12 months
217,grapes,2.09,per pound,1 week,8-12 months
218,champagne grapes,2.09,per pound,1 week,8-12 months
219,concord grapes grapes,2.09,per pound,1 week,8-12 months
220,concord grapes,2.09,per pound,1 week,8-12 months
221,red grapes,2.09,per pound,1 week,8-12 months
222,purchased lemon-infused grapeseed oil,2.09,per pound,1 week,8-12 months
223,tbsp grapeseed oil,2.09,per pound,1 week,8-12 months
224,black grapes,2.09,per pound,1 week,8-12 months
225,green seedless grapes,2.09,per pound,1 week,8-12 months
226,grapeseed oil*,2.09,per pound,1 week,8-12 months
227,grapeseed oil oil,2.09,per pound,1 week,8-12 months
228,black corinth grapes,2.09,per pound,1 week,8-12 months
229,grapeseed oil,2.09,per pound,1 week,8-12 months
230,grape nuts cereal,2.09,per pound,6 months,1 year
231,grape nuts,2.09,per pound,6 months,1 year
232,chestnuts orange halves*,1.04,per pound,6 months,1 year
233,batch orange-brown butter wet nuts,1.04,per pound,6 months,1 year
234,"onion puree olive oil, 1 onion vinegar",1.04,per pound,6 months,
235,olive oil for brushing onions,1.04,per pound,6 months,
236,olive oil onion,1.04,per pound,6 months,
237,olive oil for brushing onion and tortillas,1.04,per pound,6 months,
238,"olive oil, plus additional for potatoes",0.56,per pound,6 months,
239,olive oil and garlic whipped potatoes,0.56,per pound,6 months,
240,olive oil mango salsa,1.38,per pound,6 months,
241,"onion, celery and fennel",1.04,per pound,1 week,8-12 months
242,celery root mashed potatoes,0.56,per pound,1 week,8-12 months
243,celery root puree potatoes,0.56,per pound,1 week,8-12 months
244,"vegetables celery root, purple potatoes potatoes",0.56,per pound,1 week,8-12 months
245,accompaniment if desired: apple and celery salad,1.57,per pound,1 week,8-12 months
246,"lb celery root, and sweet potatoes",0.92,per pound,1 week,8-12 months
247,carrot and celery sticks,2.20,per pound,1 week,8-12 months
248,celery sticks,2.20,per pound,1 week,8-12 months
249,garnish parsley onion olives,1.04,per pound,2-3 days,3-4 months
250,parsley broccoli spinach tomatoes,3.83,per pound,2-3 days,3-4 months
251,green onion pork sausage,1.04,per pound,1-2 days,1-2 months
252,chicken-apple sausages,1.57,per pound,1-2 days,1-2 months
253,whole green onions green onions,1.04,per pound,3-5 days,Freeze poorly
254,cherries orange,1.04,per pound,2-3 days,8-12 months
255,orange cream cheese frosting,1.04,per pound,2 weeks,Freezes poorly
256,cream cheese-orange frosting,1.04,per pound,2 weeks,Freezes poorly
257,firm-ripe 6-to 8-ounces avocados,2.24,per pound,3-5 days,8-12 months
258,firm-ripe california avocados,2.24,per pound,3-5 days,8-12 months
259,hass avocados,2.24,per pound,3-5 days,8-12 months
260,avocados,2.24,per pound,3-5 days,8-12 months
261,california avocados,2.24,per pound,3-5 days,8-12 months
262,large ripe avocados,2.24,per pound,3-5 days,8-12 months
263,firm-ripe avocados,2.24,per pound,3-5 days,8-12 months
264,avocados water,2.24,per pound,3-5 days,8-12 months
265,"bagels, capers, sliced avocados, sliced cucumbers, watercress, and sliced scallions",2.24,per pound,3-5 days,8-12 months
266,hass ripe avocados,2.24,per pound,3-5 days,8-12 months
267,asparagus stalks,3.21,per pound,2-3 days,8-12 months
268,asparagus spears,3.21,per pound,2-3 days,8-12 months
269,lb asparagus,3.21,per pound,2-3 days,8-12 months
270,"asparagus spears, trimmed, cut into 1 3/4-inch pieces",3.21,per pound,2-3 days,8-12 months
271,green asparagus,3.21,per pound,2-3 days,8-12 months
272,"asparagus, trimmed, cut into 4-inch lengths",3.21,per pound,2-3 days,8-12 months
273,white asparagus,3.21,per pound,2-3 days,8-12 months
274,asparagus with sauce maltaise,3.21,per pound,2-3 days,8-12 months
275,"asparagus spears (about 2 pounds), trimmed to about 5 inchesand peeled asparagus spears",3.21,per pound,2-3 days,8-12 months
276,asparagus spear,3.21,per pound,2-3 days,8-12 months
277,asparagus,3.21,per pound,2-3 days,8-12 months
278,"asparagus spears, trimmed, cut into 1-inch pieces",3.21,per pound,2-3 days,8-12 months
279,asparagus tips,3.21,per pound,2-3 days,8-12 months
280,"asparagus spears, trimmed to 4-inch lengths",3.21,per pound,2-3 days,8-12 months
281,asparagus tips peas,3.21,per pound,2-3 days,8-12 months
282,"3/4""-inch asparagus",3.21,per pound,2-3 days,8-12 months
283,potato pasta,0.56,per pound,2 years,
284,potato pasta,0.56,per pound,2 years,
285,recipe fresh spinach pasta dough,3.83,per pound,2 years,
286,recipe fresh spinach pasta dough,3.83,per pound,2 years,
287,accompaniment: purple-potato and crab gratin,0.56,per pound,1-2 days (in shell),2-3 months
288,crab apple jelly,1.57,per pound,1-2 days (in shell),2-3 months
289,crabapples,1.57,per pound,1-2 days (in shell),2-3 months
290,accompaniment: spicy garlic potatoes and zucchini,0.56,per pound,3-5 days,8-12 months
291,apple bananas,1.57,per pound,5 days,8-12 months
292,"ripe bananas, peeled and halved",0.57,per pound,5 days,8-12 months
293,bananas,0.57,per pound,5 days,8-12 months
294,finger bananas bananas,0.57,per pound,5 days,8-12 months
295,bananas split and,0.57,per pound,5 days,8-12 months
296,very ripe large bananas,0.57,per pound,5 days,8-12 months
297,"bananas, cut into 1/4-inch dice",0.57,per pound,5 days,8-12 months
298,firm-ripe bananas,0.57,per pound,5 days,8-12 months
299,chinese bananas (dwarf bananas bananas,0.57,per pound,5 days,8-12 months
300,"bananas, cut lengthwise",0.57,per pound,5 days,8-12 months
301,finger bananas,0.57,per pound,5 days,8-12 months
302,bananas (from about 3 bananas),0.57,per pound,5 days,8-12 months
303,"ripe bananas, mashed",0.57,per pound,5 days,8-12 months
304,ripe bananas,0.57,per pound,5 days,8-12 months
305,mashed ripe bananas (about 3 large),0.57,per pound,5 days,8-12 months
306,small ripe finger bananas,0.57,per pound,5 days,8-12 months
307,overly ripe bananas,0.57,per pound,5 days,8-12 months
308,bananas slices (optional),0.57,per pound,5 days,8-12 months
309,"small bananas, peeled, quartered lengthwise, trimmed to 4 inches",0.57,per pound,5 days,8-12 months
310,bananas (about 3 large),0.57,per pound,5 days,8-12 months
311,overripe bananas,0.57,per pound,5 days,8-12 months
312,batch stovetop butterscotch apples and cranberries,1.57,per pound,2-3 days,8-12 months
313,pomegranate seeds cranberries,2.17,per pound,2-3 days,8-12 months
314,applewood-smoked bacon,1.57,per pound,1 week,1 month
315,apple eggplants,1.57,per pound,2-3 days,8-12 months
316,250 g apricots,3.04,per pound,1 month,8-12 months
317,1/3-inch cubes apricots,3.04,per pound,1 month,8-12 months
318,candied apricots,3.04,per pound,1 month,8-12 months
319,firm-ripe apricots,3.04,per pound,1 month,8-12 months
320,lb apricots,3.04,per pound,1 month,8-12 months
321,california apricots**,3.04,per pound,1 month,8-12 months
322,100 g apricots,3.04,per pound,1 month,8-12 months
323,california apricots,3.04,per pound,1 month,8-12 months
324,turkish apricots,3.04,per pound,1 month,8-12 months
325,apricot preserves turkish apricots,3.04,per pound,1 month,8-12 months
326,lb firm-ripe apricots,3.04,per pound,1 month,8-12 months
327,fruits apricots,3.04,per pound,1 month,8-12 months
